,bowler,bowled,caught,hit wicket,lbw,total
253,SL Malinga,63,76,,10,149
76,DJ Bravo,18,90,,6,114
198,PP Chawla,37,57,,15,109
5,A Mishra,21,74,,13,108
44,B Kumar,33,65,,7,105
7,A Nehra,23,76,,5,104
102,Harbhajan Singh,26,68,1,8,103
305,Z Khan,22,70,,9,101
213,R Vinay Kumar,13,80,,6,99
286,UT Yadav,16,69,,6,91
90,DW Steyn,25,58,1,6,90
188,P Kumar,14,70,,5,89
203,R Ashwin,17,62,,10,89
222,RP Singh,25,58,,5,88
115,JA Morkel,17,58,1,7,83
260,SR Watson,16,66,,1,83
171,MM Sharma,17,60,,4,81
259,SP Narine,28,38,,12,78
107,IK Pathan,22,49,,6,77
157,M Morkel,17,58,,2,77
199,PP Ojha,15,57,,5,77
149,L Balaji,19,54,,1,74
214,RA Jadeja,19,44,,10,73
88,DS Kulkarni,9,61,,2,72
170,MM Patel,12,54,,4,70
17,AB Dinda,14,52,,3,69
204,R Bhatia,19,44,,6,69
267,Sandeep Sharma,14,46,,9,69
122,JH Kallis,18,40,,6,64
