bowling_team,batting_team,over,total_runs
Chennai Super Kings,Deccan Chargers,1,4
Chennai Super Kings,Deccan Chargers,2,7
Chennai Super Kings,Deccan Chargers,3,4
Chennai Super Kings,Deccan Chargers,4,5
Chennai Super Kings,Deccan Chargers,5,5
Chennai Super Kings,Deccan Chargers,6,2
Chennai Super Kings,Deccan Chargers,7,2
Chennai Super Kings,Deccan Chargers,8,5
Chennai Super Kings,Deccan Chargers,9,3
Chennai Super Kings,Deccan Chargers,10,2
Chennai Super Kings,Deccan Chargers,11,1
Chennai Super Kings,Deccan Chargers,12,2
Chennai Super Kings,Deccan Chargers,13,4
Chennai Super Kings,Deccan Chargers,14,1
Chennai Super Kings,Deccan Chargers,15,5
Chennai Super Kings,Deccan Chargers,16,4
Chennai Super Kings,Deccan Chargers,17,2
Chennai Super Kings,Deccan Chargers,18,4
Chennai Super Kings,Deccan Chargers,19,4
Chennai Super Kings,Deccan Chargers,20,4
Chennai Super Kings,Delhi Daredevils,1,4
Chennai Super Kings,Delhi Daredevils,2,6
Chennai Super Kings,Delhi Daredevils,3,5
Chennai Super Kings,Delhi Daredevils,4,4
Chennai Super Kings,Delhi Daredevils,5,4
Chennai Super Kings,Delhi Daredevils,6,3
Chennai Super Kings,Delhi Daredevils,7,7
Chennai Super Kings,Delhi Daredevils,8,3
Chennai Super Kings,Delhi Daredevils,9,3
Chennai Super Kings,Delhi Daredevils,10,5
Chennai Super Kings,Delhi Daredevils,11,8
Chennai Super Kings,Delhi Daredevils,12,5
Chennai Super Kings,Delhi Daredevils,13,6
Chennai Super Kings,Delhi Daredevils,14,6
Chennai Super Kings,Delhi Daredevils,15,3
Chennai Super Kings,Delhi Daredevils,16,3
Chennai Super Kings,Delhi Daredevils,17,3
Chennai Super Kings,Delhi Daredevils,18,3
Chennai Super Kings,Delhi Daredevils,19,3
Chennai Super Kings,Delhi Daredevils,20,1
Chennai Super Kings,Kings XI Punjab,1,8
Chennai Super Kings,Kings XI Punjab,2,6
Chennai Super Kings,Kings XI Punjab,3,6
Chennai Super Kings,Kings XI Punjab,4,4
Chennai Super Kings,Kings XI Punjab,5,3
Chennai Super Kings,Kings XI Punjab,6,5
Chennai Super Kings,Kings XI Punjab,7,3
Chennai Super Kings,Kings XI Punjab,8,6
Chennai Super Kings,Kings XI Punjab,9,4
Chennai Super Kings,Kings XI Punjab,10,6
Chennai Super Kings,Kings XI Punjab,11,5
Chennai Super Kings,Kings XI Punjab,12,2
Chennai Super Kings,Kings XI Punjab,13,6
Chennai Super Kings,Kings XI Punjab,14,5
Chennai Super Kings,Kings XI Punjab,15,4
Chennai Super Kings,Kings XI Punjab,16,6
Chennai Super Kings,Kings XI Punjab,17,8
Chennai Super Kings,Kings XI Punjab,18,5
Chennai Super Kings,Kings XI Punjab,19,1
Chennai Super Kings,Kings XI Punjab,20,4
Chennai Super Kings,Kochi Tuskers Kerala,2,3
Chennai Super Kings,Kochi Tuskers Kerala,4,1
Chennai Super Kings,Kochi Tuskers Kerala,7,2
Chennai Super Kings,Kochi Tuskers Kerala,9,2
Chennai Super Kings,Kochi Tuskers Kerala,11,1
Chennai Super Kings,Kochi Tuskers Kerala,14,1
Chennai Super Kings,Kochi Tuskers Kerala,17,1
Chennai Super Kings,Kochi Tuskers Kerala,20,1
Chennai Super Kings,Kolkata Knight Riders,1,11
Chennai Super Kings,Kolkata Knight Riders,2,7
Chennai Super Kings,Kolkata Knight Riders,3,11
Chennai Super Kings,Kolkata Knight Riders,4,6
Chennai Super Kings,Kolkata Knight Riders,5,2
Chennai Super Kings,Kolkata Knight Riders,6,6
Chennai Super Kings,Kolkata Knight Riders,7,7
Chennai Super Kings,Kolkata Knight Riders,8,7
Chennai Super Kings,Kolkata Knight Riders,9,7
Chennai Super Kings,Kolkata Knight Riders,10,4
Chennai Super Kings,Kolkata Knight Riders,11,2
Chennai Super Kings,Kolkata Knight Riders,12,2
Chennai Super Kings,Kolkata Knight Riders,13,4
Chennai Super Kings,Kolkata Knight Riders,14,3
Chennai Super Kings,Kolkata Knight Riders,15,3
Chennai Super Kings,Kolkata Knight Riders,16,2
Chennai Super Kings,Kolkata Knight Riders,17,3
Chennai Super Kings,Kolkata Knight Riders,18,6
Chennai Super Kings,Kolkata Knight Riders,19,6
Chennai Super Kings,Kolkata Knight Riders,20,6
Chennai Super Kings,Mumbai Indians,1,6
Chennai Super Kings,Mumbai Indians,2,14
Chennai Super Kings,Mumbai Indians,3,9
Chennai Super Kings,Mumbai Indians,4,14
Chennai Super Kings,Mumbai Indians,5,8
Chennai Super Kings,Mumbai Indians,6,4
Chennai Super Kings,Mumbai Indians,7,6
Chennai Super Kings,Mumbai Indians,8,6
Chennai Super Kings,Mumbai Indians,9,4
Chennai Super Kings,Mumbai Indians,10,7
Chennai Super Kings,Mumbai Indians,11,10
Chennai Super Kings,Mumbai Indians,12,5
Chennai Super Kings,Mumbai Indians,13,4
Chennai Super Kings,Mumbai Indians,14,4
Chennai Super Kings,Mumbai Indians,15,4
Chennai Super Kings,Mumbai Indians,16,6
Chennai Super Kings,Mumbai Indians,17,7
Chennai Super Kings,Mumbai Indians,18,4
Chennai Super Kings,Mumbai Indians,19,8
Chennai Super Kings,Mumbai Indians,20,12
Chennai Super Kings,Pune Warriors,1,4
Chennai Super Kings,Pune Warriors,2,2
Chennai Super Kings,Pune Warriors,3,4
Chennai Super Kings,Pune Warriors,4,2
Chennai Super Kings,Pune Warriors,5,1
Chennai Super Kings,Pune Warriors,7,2
Chennai Super Kings,Pune Warriors,8,1
Chennai Super Kings,Pune Warriors,11,4
Chennai Super Kings,Pune Warriors,12,1
Chennai Super Kings,Pune Warriors,13,3
Chennai Super Kings,Pune Warriors,15,1
Chennai Super Kings,Pune Warriors,16,4
Chennai Super Kings,Pune Warriors,17,2
Chennai Super Kings,Pune Warriors,18,2
Chennai Super Kings,Pune Warriors,19,1
Chennai Super Kings,Pune Warriors,20,4
Chennai Super Kings,Rajasthan Royals,1,6
Chennai Super Kings,Rajasthan Royals,2,6
Chennai Super Kings,Rajasthan Royals,3,8
Chennai Super Kings,Rajasthan Royals,4,3
Chennai Super Kings,Rajasthan Royals,5,1
Chennai Super Kings,Rajasthan Royals,6,2
Chennai Super Kings,Rajasthan Royals,7,12
Chennai Super Kings,Rajasthan Royals,8,5
Chennai Super Kings,Rajasthan Royals,9,7
Chennai Super Kings,Rajasthan Royals,10,3
Chennai Super Kings,Rajasthan Royals,11,4
Chennai Super Kings,Rajasthan Royals,12,4
Chennai Super Kings,Rajasthan Royals,13,4
Chennai Super Kings,Rajasthan Royals,14,1
Chennai Super Kings,Rajasthan Royals,15,5
Chennai Super Kings,Rajasthan Royals,16,6
Chennai Super Kings,Rajasthan Royals,17,5
Chennai Super Kings,Rajasthan Royals,18,9
Chennai Super Kings,Rajasthan Royals,19,4
Chennai Super Kings,Rajasthan Royals,20,4
Chennai Super Kings,Royal Challengers Bangalore,1,6
Chennai Super Kings,Royal Challengers Bangalore,2,9
Chennai Super Kings,Royal Challengers Bangalore,3,4
Chennai Super Kings,Royal Challengers Bangalore,4,3
Chennai Super Kings,Royal Challengers Bangalore,5,5
Chennai Super Kings,Royal Challengers Bangalore,6,5
Chennai Super Kings,Royal Challengers Bangalore,7,10
Chennai Super Kings,Royal Challengers Bangalore,8,9
Chennai Super Kings,Royal Challengers Bangalore,9,9
Chennai Super Kings,Royal Challengers Bangalore,10,3
Chennai Super Kings,Royal Challengers Bangalore,11,4
Chennai Super Kings,Royal Challengers Bangalore,12,7
Chennai Super Kings,Royal Challengers Bangalore,13,4
Chennai Super Kings,Royal Challengers Bangalore,14,7
Chennai Super Kings,Royal Challengers Bangalore,15,5
Chennai Super Kings,Royal Challengers Bangalore,16,10
Chennai Super Kings,Royal Challengers Bangalore,17,9
Chennai Super Kings,Royal Challengers Bangalore,18,6
Chennai Super Kings,Royal Challengers Bangalore,19,3
Chennai Super Kings,Royal Challengers Bangalore,20,5
Chennai Super Kings,Sunrisers Hyderabad,1,1
Chennai Super Kings,Sunrisers Hyderabad,2,2
Chennai Super Kings,Sunrisers Hyderabad,3,2
