,team1,team2,toss_winner,toss_decision,winner
234,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings
235,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
236,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
237,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians
238,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors
239,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Kolkata Knight Riders
240,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals
241,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
242,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
243,Kochi Tuskers Kerala,Pune Warriors,Kochi Tuskers Kerala,bat,Pune Warriors
244,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
245,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
246,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
247,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
248,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
249,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
250,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
251,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
252,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers
253,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians
254,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala
255,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab
256,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
257,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
258,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Delhi Daredevils
259,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Mumbai Indians
260,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
261,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings
262,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
263,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Chennai Super Kings
264,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Deccan Chargers
265,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Kolkata Knight Riders
266,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
267,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore
268,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,Delhi Daredevils
269,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
270,Pune Warriors,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
271,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
272,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians
273,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
274,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders
275,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
276,Mumbai Indians,Pune Warriors,Pune Warriors,field,Mumbai Indians
277,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala
278,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
279,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore
280,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders
281,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
282,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
283,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors
284,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
285,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors
286,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
287,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
288,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings
289,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
290,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
291,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers
292,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab
293,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
294,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
295,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab
296,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings
297,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
298,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals
299,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers
300,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,
301,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
302,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
303,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings
304,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
305,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore
306,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
