,team1,team2,toss_winner,toss_decision,winner
117,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians
118,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
119,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
120,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,Deccan Chargers
121,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings
122,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
123,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,Deccan Chargers
124,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Delhi Daredevils
125,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals
126,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
127,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers
128,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils
129,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab
130,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
131,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
132,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals
133,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Royal Challengers Bangalore
134,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab
135,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
136,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings
137,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians
138,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
139,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals
140,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings
141,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kings XI Punjab
142,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore
143,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings
144,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
145,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils
146,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers
147,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals
148,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
149,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils
150,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
151,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings
152,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians
153,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
154,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Deccan Chargers
155,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
156,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians
157,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Delhi Daredevils
158,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore
159,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals
160,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
161,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings
162,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
163,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab
164,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils
165,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders
166,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,Royal Challengers Bangalore
167,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
168,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings
169,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
170,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
171,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,Deccan Chargers
172,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
173,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers
