,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
0,85,1/13/16 6:15,1/13/16 6:15,180,0.4,,,24,24,4.5,0,0,0,4.5,Cash,107,41.8130463,-87.67635599,41.90120699,-87.67635599
1,2776,1/22/16 9:30,1/22/16 9:45,240,0.7,,,,,4.45,4.45,0,0,8.9,Credit Card,,,,,
2,3168,1/31/16 21:30,1/31/16 21:30,0,0,,,,,42.75,5,0,0,47.75,Credit Card,119,,,,
3,4237,1/23/16 17:30,1/23/16 17:30,480,1.1,,,6,6,7,0,0,0,7,Cash,,41.8130463,-87.65599818,41.9442266,-87.65599818
4,5710,1/14/16 5:45,1/14/16 6:00,480,2.71,,,32,,10.25,0,0,0,10.25,Cash,,41.8130463,-87.62519214,,
5,1987,1/8/16 18:15,1/8/16 18:45,1080,6.2,,,8,3,17.75,0,0,0,17.75,Cash,,41.8130463,-87.63330804,41.96581197,-87.65587879
6,4986,1/14/16 4:30,1/14/16 5:00,1500,18.4,,,,,45,12,0,0,57,Credit Card,,,,,
7,6400,1/26/16 4:15,1/26/16 4:15,60,0.2,,,16,16,3.75,0,0,0,3.75,Cash,107,41.8130463,-87.72345239,41.95358213,-87.72345239
8,7418,1/22/16 11:30,1/22/16 11:45,180,0,,504,8,32,5,2,0,1.5,8.5,Credit Card,82,41.8130463,-87.62621491,41.88498719,-87.62099291
9,6450,1/7/16 21:15,1/7/16 21:15,0,0,,,,,3.25,0,0,1.5,4.75,Cash,,,,,
10,1078,1/25/16 9:00,1/25/16 9:00,480,1.3,,792,8,8,7,1,0,0,8,Credit Card,109,41.8130463,-87.62076287,41.89321636,615
11,6641,1/6/16 23:15,1/6/16 23:30,420,0,,807,8,28,7.25,0,0,0,7.25,Cash,8,41.8130463,-87.63784421,41.87925508,545
12,920,1/13/16 18:30,1/13/16 19:00,1380,5.1,,,32,31,17.25,5.18,0,0,22.43,Credit Card,,41.8130463,-87.62519214,41.85026637,388
13,7984,1/22/16 9:45,1/22/16 9:45,420,0,,749,8,28,6.25,0,0,0,6.25,Cash,107,41.8130463,-87.63784421,41.88528132,196
14,6078,1/3/16 7:45,1/3/16 8:00,480,0.1,,,41,69,9,0,0,0,9,Cash,107,41.8130463,-87.59231086,41.7632468,173
15,221,1/3/16 16:30,1/3/16 16:30,720,0,,807,7,28,10.75,0,0,0,10.75,Cash,101,41.8130463,-87.65400703,41.87925508,545
16,6535,1/25/16 10:30,1/25/16 10:30,720,2.2,,40,7,28,10,0,0,0,10,Cash,92,41.8130463,-87.63171737,41.88530002,408
17,5292,1/29/16 8:15,1/29/16 8:30,300,0.8,,,,,5.5,0,0,0,5.5,Cash,,,,,
18,5367,1/11/16 14:00,1/11/16 14:00,420,0,,,28,28,6.75,0,0,0,6.75,Cash,107,41.8130463,-87.66351755,41.87400538,270
19,4251,1/1/16 19:30,1/1/16 19:45,660,4.1,,404,8,6,11.85,3,0,1,15.85,Credit Card,101,41.8130463,-87.62621491,41.94269184,617
20,3428,1/20/16 7:30,1/20/16 7:45,720,2.5,,749,8,28,10.25,1.75,0,0,12,Credit Card,,41.8130463,-87.61971067,41.88528132,196
21,5132,1/8/16 19:30,1/8/16 19:30,720,0.2,,108,32,24,12.25,2,0,1,15.25,Credit Card,8,41.8130463,-87.63274649,41.91236435,207
22,8414,1/2/16 13:30,1/2/16 13:30,0,0,,,3,3,3.25,0,0,0,3.25,Cash,,41.8130463,-87.65587879,41.96581197,120
23,2647,1/15/16 19:30,1/15/16 19:30,360,0,,13,8,8,6.5,0,0,0,6.5,Cash,107,41.8130463,-87.63186395,41.90752008,204
24,2628,1/19/16 11:15,1/19/16 11:15,0,0,,,,,10.75,2.69,0,0,13.44,Credit Card,119,,,,
25,8613,1/14/16 14:15,1/14/16 14:45,1740,11.5,,960,32,56,31.25,0,0,4,35.25,Cash,,41.8130463,-87.63274649,41.78599852,757
26,4126,1/23/16 21:45,1/23/16 21:45,360,0,,504,8,32,6,0,0,0,6,Cash,101,41.8130463,-87.61886836,41.88498719,605
27,3102,1/17/16 21:00,1/17/16 21:00,0,0,,,,,22,1.5,0,0,23.5,Credit Card,119,,,,
28,4488,1/23/16 21:00,1/23/16 21:30,2040,17.4,,,8,,44.75,8.95,0,0,53.7,Credit Card,,41.8130463,-87.63330804,,
29,146,1/17/16 1:00,1/17/16 1:00,180,0.7,,,,,5,2,0,0,7,Credit Card,109,,,,
30,373,1/2/16 17:45,1/2/16 17:45,240,0.6,,504,8,32,4.85,0,0,1.5,6.35,Cash,109,41.8130463,-87.61886836,41.88498719,605
31,5540,1/13/16 19:00,1/13/16 19:15,600,0.9,,959,8,8,7,1.11,0,0,8.11,Credit Card,92,41.8130463,-87.63186395,41.89503345,754
32,2913,1/12/16 15:30,1/12/16 15:45,840,0.4,,,41,8,20,2,0,0,22,Credit Card,107,41.8130463,-87.59231086,41.89960211,346
33,5680,1/1/16 14:30,1/1/16 14:45,1020,7.8,,,8,4,18.85,0,0,0,18.85,Cash,10,41.8130463,-87.63330804,41.97517094,780
34,4545,1/1/16 0:00,1/1/16 0:00,0,0,,179,32,32,0,0,0,0,0,Cash,119,41.8130463,-87.62217294,41.87060737,405
35,5391,1/13/16 5:30,1/13/16 5:30,420,2.8,,,32,28,9.5,0,0,0,9.5,Cash,,41.8130463,-87.62519214,41.87400538,270
