batting_team,over,fours
Chennai Super Kings,1,85
Chennai Super Kings,2,129
Chennai Super Kings,3,106
Chennai Super Kings,4,126
Chennai Super Kings,5,142
Chennai Super Kings,6,135
Chennai Super Kings,7,65
Chennai Super Kings,8,76
Chennai Super Kings,9,89
Chennai Super Kings,10,61
Chennai Super Kings,11,67
Chennai Super Kings,12,69
Chennai Super Kings,13,63
Chennai Super Kings,14,76
Chennai Super Kings,15,80
Chennai Super Kings,16,69
Chennai Super Kings,17,98
Chennai Super Kings,18,84
Chennai Super Kings,19,93
Chennai Super Kings,20,79
Deccan Chargers,1,72
Deccan Chargers,2,74
Deccan Chargers,3,73
Deccan Chargers,4,62
Deccan Chargers,5,56
Deccan Chargers,6,65
Deccan Chargers,7,39
Deccan Chargers,8,42
Deccan Chargers,9,26
Deccan Chargers,10,33
Deccan Chargers,11,48
Deccan Chargers,12,45
Deccan Chargers,13,28
Deccan Chargers,14,36
Deccan Chargers,15,49
Deccan Chargers,16,42
Deccan Chargers,17,49
Deccan Chargers,18,42
Deccan Chargers,19,46
Deccan Chargers,20,39
Delhi Daredevils,1,116
Delhi Daredevils,2,160
Delhi Daredevils,3,143
Delhi Daredevils,4,140
Delhi Daredevils,5,153
Delhi Daredevils,6,129
Delhi Daredevils,7,89
Delhi Daredevils,8,67
Delhi Daredevils,9,85
Delhi Daredevils,10,87
Delhi Daredevils,11,76
Delhi Daredevils,12,75
Delhi Daredevils,13,88
Delhi Daredevils,14,79
Delhi Daredevils,15,68
Delhi Daredevils,16,78
Delhi Daredevils,17,93
Delhi Daredevils,18,110
Delhi Daredevils,19,77
Delhi Daredevils,20,78
Gujarat Lions,1,31
Gujarat Lions,2,26
Gujarat Lions,3,32
Gujarat Lions,4,34
Gujarat Lions,5,29
Gujarat Lions,6,33
Gujarat Lions,7,18
Gujarat Lions,8,26
Gujarat Lions,9,17
Gujarat Lions,10,17
Gujarat Lions,11,22
Gujarat Lions,12,14
Gujarat Lions,13,18
Gujarat Lions,14,23
Gujarat Lions,15,16
Gujarat Lions,16,21
Gujarat Lions,17,25
Gujarat Lions,18,21
Gujarat Lions,19,22
Gujarat Lions,20,15
Kings XI Punjab,1,114
Kings XI Punjab,2,143
Kings XI Punjab,3,144
Kings XI Punjab,4,152
Kings XI Punjab,5,156
Kings XI Punjab,6,167
Kings XI Punjab,7,79
Kings XI Punjab,8,93
Kings XI Punjab,9,81
Kings XI Punjab,10,85
Kings XI Punjab,11,89
Kings XI Punjab,12,88
